X,Y
3,13
4,13
5,13
6,13
7,13
8,13
9,13
10,13
11,13
12,13
13,13
13,12
13,11
13,10
13,10
12,10
11,10
10,10
9,10
8,10
7,10
6,10
6,9
6,8
6,7
6,6
7,6
8,6
9,6
10,6
11,6
12,6
13,6
14,6
15,6
16,6
17,6
18,6
19,6
20,6
21,6
22,6
23,6
23,5
23,4
23,3
,
3,13
3,12
3,11
3,10
3,9
3,8
4,7
5,6
6,6
6,6
6,6
6,5
6,4
6,3
7,3
8,3
9,3
10,3
11,3
11,4
11,5
11,6
10,6
10,7
10,8
10,9
11,9
12,9
13,9
14,9
15,9
16,9
17,9
18,9
19,9
20,9
21,9
22,9
23,10
23,11
23,12
23,13
,
3,13
4,12
5,11
6,10
6,9
6,8
6,7
7,7
8,7
8,8
9,8
10,8
10,7
10,6
10,5
10,4
10,3
9,3
8,3
7,3
6,3
5,3
4,3
3,3
,
3,13
4,13
5,13
6,13
7,13
8,13
9,13
10,13
11,13
12,13
13,13
14,13
15,13
16,13
17,13
18,13
19,13
20,13
21,13
22,13
23,13
23,12
23,11
23,10
23,9
23,8
23,7
23,6
23,5
23,4
23,3
22,3
21,3
20,3
19,3
19,4
19,5
19,6
19,7
18,7
17,7
16,7
15,7
14,7
13,7
