X,Y
23,3
22,4
21,5
20,6
19,7
18,8
17,9
16,9
15,9
14,9
13,9
13,8
13,7
13,6
13,5
13,4
13,3
12,3
11,3
10,3
9,3
8,3
7,3
6,3
5,3
4,3
3,3
3,4
3,5
3,6
3,7
,
23,3
23,4
23,5
23,6
23,7
22,7
21,7
20,7
19,7
18,7
17,7
16,7
15,7
14,7
14,6
14,5
14,4
14,3
13,3
12,3
11,3
10,3
9,3
8,3
7,3
6,3
5,3
4,3
3,3
3,4
3,5
3,6
3,7
3,8
3,9
3,10
3,11
3,12
3,13
4,13
5,13
6,13
7,13
8,13
9,13
10,13
11,13
12,13
13,13
14,13
15,13
16,13
17,13
18,13
19,13
20,13
21,13
22,13
23,13
,
23,3
22,3
21,3
20,3
19,3
18,3
17,3
16,3
15,3
14,3
13,3
12,3
12,4
12,5
12,6
12,7
12,8
12,9
12,10
11,10
10,10
9,10
9,9
9,8
9,7
9,6
9,5
9,4
9,3
8,3
7,3
6,3
5,3
4,3
3,3
3,4
3,5
3,6
3,7
3,8
3,9
3,10
3,11
3,12
3,13
4,13
5,13
6,13
7,13
8,13
9,13
10,13
11,13
12,13
13,13
14,13
15,13
16,13
17,13
18,13
19,13
20,13
21,13
22,13
23,12
23,11
23,10
23,9
23,8
23,7
,
23,3
22,3
21,3
20,3
19,3
18,3
17,3
16,3
15,3
14,3
14,4
14,5
14,6
14,7
14,8
14,9
15,10
16,10
17,10
18,10
19,10
19,9
19,8
18,7
17,7
16,7
15,7
14,7
13,7
12,7
11,7
10,7
9,7
8,7
7,7
6,7
5,7
4,7
3,7
3,8
3,9
3,10
3,11
3,12
3,13
