X,Y
13,13
14,13
15,13
16,13
17,13
18,13
19,12
19,11
19,10
19,9
19,8
19,7
19,7
18,7
17,7
16,7
15,7
14,7
13,7
12,7
11,7
10,7
9,7
8,7
7,7
6,7
6,6
6,5
6,4
6,3
7,3
8,3
9,3
10,3
11,3
12,3
13,3
14,3
15,3
16,3
17,3
18,3
19,3
20,3
21,3
22,3
23,3
,
13,13
12,12
11,11
10,10
9,9
8,8
7,7
6,6
5,5
6,5
7,5
8,5
9,5
10,5
11,5
12,5
12,4
12,3
13,4
14,5
15,6
16,7
17,8
18,9
19,10
20,11
21,11
22,11
23,11
23,10
23,9
23,8
23,7
,
13,13
14,13
15,13
16,13
17,13
18,13
19,13
20,13
21,13
21,12
21,11
21,10
21,9
21,8
21,7
21,6
21,5
21,4
21,3
20,3
19,3
18,3
17,3
16,3
15,3
14,3
13,3
12,3
11,3
10,3
9,3
8,3
7,3
6,3
5,4
5,5
5,6
5,7
6,7
7,7
8,7
9,7
10,7
11,7
12,7
13,7
,
13,13
12,12
11,11
10,10
9,9
10,9
11,9
12,9
13,9
14,9
15,9
16,9
17,9
18,9
19,9
20,9
21,9
20,8
19,7
18,6
17,5
16,4
15,3
16,3
17,3
18,3
19,3
20,3
21,3
22,3
23,3
