X,Y
3,3
4,3
5,3
6,3
7,3
8,3
9,3
10,3
11,3
12,3
13,3
14,3
15,3
16,3
17,3
18,3
19,3
20,3
21,3
22,3
23,3
22,4
21,5
20,6
19,7
18,8
18,9
17,9
16,9
15,9
14,9
13,9
12,9
11,9
10,9
9,9
8,9
7,9
6,9
5,9
4,9
3,10
3,11
3,12
3,13
,
3,3
4,4
5,5
6,6
7,7
8,8
9,8
10,8
11,8
12,8
13,8
14,8
15,8
16,8
17,8
18,8
19,8
20,8
21,8
22,8
23,8
23,8
23,9
23,10
23,11
23,12
22,13
21,13
20,13
19,13
18,13
17,13
16,13
15,13
14,13
13,13
,
3,3
4,3
5,3
6,3
7,3
8,3
8,4
8,5
8,6
8,7
8,8
9,8
10,8
11,8
12,8
13,8
14,8
15,8
16,8
17,8
18,8
19,8
20,8
21,8
21,7
21,6
21,5
21,4
21,3
20,3
19,3
18,3
17,3
16,3
15,3
14,3
13,3
,
3,3
3,4
3,5
3,6
3,7
4,7
5,7
6,7
7,7
8,7
9,7
10,7
11,7
12,7
13,7
14,7
15,7
16,7
17,7
18,7
19,7
20,7
21,7
22,7
23,7
