X,Y
23,13
22,13
21,13
20,13
19,13
18,13
17,13
16,13
15,13
14,13
13,13
13,12
13,11
13,10
13,9
13,8
13,7
14,7
15,7
16,7
17,7
18,7
19,7
20,7
21,7
22,7
23,7
23,6
23,5
23,4
23,3
22,3
21,3
20,3
19,3
18,3
17,3
16,3
15,3
14,3
13,3
12,3
11,3
10,3
9,3
8,3
7,3
6,3
5,3
4,3
3,3
,
23,13
22,13
21,13
20,13
19,13
18,13
17,13
16,13
15,13
14,13
13,13
12,13
11,13
10,13
9,13
8,13
7,13
6,13
5,13
4,13
4,12
4,11
4,10
4,9
5,8
6,8
7,8
8,8
9,8
10,8
11,8
12,8
13,8
14,8
15,8
16,8
17,8
18,8
18,7
18,6
18,5
18,4
18,3
17,3
16,3
15,3
14,3
13,3
,
23,13
23,12
23,11
23,10
23,9
23,8
23,7
23,6
23,5
23,4
23,3
22,3
21,3
20,3
19,3
18,3
17,3
16,3
16,4
16,5
16,6
16,7
16,8
15,8
14,8
13,8
12,8
11,8
10,8
9,8
8,8
7,8
6,8
5,8
4,8
3,8
3,7
3,6
3,5
3,4
3,3
4,3
5,3
6,3
7,3
8,3
9,3
10,3
11,3
12,3
13,3
,
23,13
22,13
21,13
20,13
19,13
18,13
17,13
16,13
15,13
14,13
13,13
12,13
11,13
10,13
9,13
8,13
7,13
6,13
6,12
6,11
6,10
6,9
6,8
6,7
6,6
6,5
6,4
7,4
8,4
9,4
10,4
11,4
12,4
13,4
14,4
15,4
16,4
17,4
18,4
19,4
20,4
21,4
22,4
22,5
22,6
22,7
21,7
20,7
19,7
18,7
17,7
16,7
15,7
14,7
13,7
